alpha,C_pw,c,best_reward,final_depth,final_nodes,branching_factor,elapsed_time_s
0.1,1.0,0.1,-3.7912991046905518,32,427,1.9189189189189189,19.17
0.1,1.0,0.4,-4.676538467407227,19,10001,1.7522340984755564,237.11
0.1,1.0,0.7,-4.566679954528809,15,10001,1.7473353136466887,242.84
0.1,1.0,1.0,-4.64093542098999,13,10001,1.736714136853074,244.46
0.1,1.7,0.1,-2.48504900932312,32,1261,2.142857142857143,41.61
0.1,1.7,0.4,-4.683093070983887,11,10001,1.9801980198019802,274.11
0.1,1.7,0.7,-4.647353649139404,9,10001,1.9580967299784608,275.98
0.1,1.7,1.0,-4.641729831695557,9,10001,1.918649270913277,282.23
0.1,2.4,0.1,-2.101715564727783,32,5408,2.4951545916012923,139.3
0.1,2.4,0.4,-4.748184680938721,9,10001,2.388915432393693,283.45
0.1,2.4,0.7,-4.642090797424316,8,10001,2.385496183206107,283.98
0.1,2.4,1.0,-4.5903825759887695,7,10001,2.440214738897023,288.63
0.15,1.0,0.1,-2.4635722637176514,32,852,1.938496583143508,29.95
0.15,1.0,0.4,-4.629086017608643,15,10001,1.7692852087756545,253.73
0.15,1.0,0.7,-4.703049659729004,12,10001,1.7618040873854828,257.79
0.15,1.0,1.0,-4.6674957275390625,12,10001,1.7464198393293748,260.12
0.15,1.7,0.1,-3.3541667461395264,32,3216,2.4264150943396228,84.48
0.15,1.7,0.4,-4.581968307495117,9,10001,2.313208420078649,283.22
0.15,1.7,0.7,-4.693723201751709,8,10001,2.2732439190725167,279.8
0.15,1.7,1.0,-4.610708713531494,8,10001,2.213368747233289,279.88
0.15,2.4,0.1,-4.684451103210449,13,10001,2.635046113306983,271.56
0.15,2.4,0.4,-4.7196269035339355,8,10001,2.534211860111505,288.45
0.15,2.4,0.7,-4.683784484863281,7,10001,2.4271844660194173,288.87
0.15,2.4,1.0,-4.589277744293213,6,10001,2.3957834211787254,299.04
0.2,1.0,0.1,-2.885294198989868,32,952,2.1811926605504586,33.46
0.2,1.0,0.4,-4.698115825653076,12,10001,1.795654516071108,273.5
0.2,1.0,0.7,-4.664365291595459,10,10001,1.7796760989499911,287.09
0.2,1.0,1.0,-4.705385684967041,10,10001,1.7705382436260624,278.58
0.2,1.7,0.1,-4.6451735496521,14,10001,2.431906614785992,274.41
0.2,1.7,0.4,-4.5469560623168945,8,10001,2.346866932644919,295.89
0.2,1.7,0.7,-4.659064769744873,7,10001,2.305209774089442,290.98
0.2,1.7,1.0,-4.65132999420166,7,10001,2.184837229626393,285.93
0.2,2.4,0.1,-4.69172477722168,11,10001,2.85143997718848,283.04
0.2,2.4,0.4,-4.718351364135742,6,10001,2.788622420524261,297.82
0.2,2.4,0.7,-4.6276702880859375,6,10001,2.6476039184537994,295.94
0.2,2.4,1.0,-4.596280097961426,6,10001,2.4813895781637716,299.83
