alpha,C_pw,c,best_reward,final_depth,final_nodes,branching_factor,elapsed_time_s
0.15,1.0,1.5,-4.659625053405762,11,10001,1.741856819369448,253.87
0.15,1.0,1.65,-4.73013973236084,11,10001,1.7448961786773687,252.87
0.15,1.0,1.8,-4.701229572296143,11,10001,1.7516202487300754,254.3
0.15,1.25,1.5,-4.719429016113281,9,10001,1.7806267806267806,284.05
0.15,1.25,1.65,-4.664477825164795,9,10001,1.789228842368939,285.1
0.15,1.25,1.8,-4.711636543273926,9,10001,1.7905102954341987,272.5
0.15,1.5,1.5,-4.6808929443359375,8,10001,2.0329335230737953,284.44
0.15,1.5,1.65,-4.7102155685424805,8,10001,2.028397565922921,276.14
0.15,1.5,1.8,-4.641075134277344,8,10001,2.0725388601036268,275.21
0.2,1.0,1.5,-4.653750896453857,9,10001,1.7661603673613564,270.54
0.2,1.0,1.65,-4.656982421875,9,10001,1.7621145374449338,268.79
0.2,1.0,1.8,-4.674098014831543,9,10001,1.7611835153222966,269.56
0.2,1.25,1.5,-4.648964881896973,8,10001,1.8328445747800586,271.21
0.2,1.25,1.65,-4.629611015319824,8,10001,1.83452577508714,271.24
0.2,1.25,1.8,-4.735128402709961,8,10001,1.8318373328448434,269.08
0.2,1.5,1.5,-4.683037757873535,7,10001,2.025111381125962,280.01
0.2,1.5,1.65,-4.673121452331543,7,10001,2.042066571370227,280.77
0.2,1.5,1.8,-4.670104026794434,7,10001,2.0496003279360524,279.37
0.25,1.0,1.5,-4.693145751953125,8,10001,1.80635838150289,276.3
0.25,1.0,1.65,-4.572897434234619,8,10001,1.8099547511312217,274.03
0.25,1.0,1.8,-4.609807014465332,8,10001,1.810610175629187,269.01
0.25,1.25,1.5,-4.729367733001709,7,10001,2.044989775051125,275.81
0.25,1.25,1.65,-4.635462760925293,7,10001,2.0716801325875287,274.1
0.25,1.25,1.8,-4.634621620178223,7,10001,2.116850127011008,274.24
0.25,1.5,1.5,-4.698458671569824,6,10001,2.052545155993432,283.76
0.25,1.5,1.65,-4.6020708084106445,6,10001,2.0661157024793386,281.71
0.25,1.5,1.8,-4.643736839294434,6,10001,2.073398299813394,280.37
